sl.no,Type,Course Code,Course Name,Course Type,Ver sio n,L,T,P,J,Credits
62,Discipline Elective,BECE320E,Embedded C Programming,Embedded Theory and Lab,1,2,0,2,0,3
63,Discipline Elective,BECE391J,Technical Answers to Real Problems Project,Project,1,0,0,0,0,3
64,Discipline Elective,BECE392J,Design Project,Project,1,0,0,0,0,3
65,Discipline Elective,BECE393J,Laboratory Project,Project,1,0,0,0,0,3
66,Discipline Elective,BECE394J,Product Development Project,Project,1,0,0,0,0,3
67,Discipline Elective,BECE395J,Computer Project,Project,1,0,0,0,0,3
68,Discipline Elective,BECE396J,Reading Course,Project,1,0,0,0,0,3
69,Discipline Elective,BECE397J,Special Project,Project,1,0,0,0,0,3
70,Discipline Elective,BECE398J,Simulation Project,Project,1,0,0,0,0,3
71,Discipline Elective,BECE403E,Embedded Systems Design,Embedded Theory and Lab,1,3,0,2,0,4
72,Discipline Elective,BECE404E,"Detection, Estimation and Modulation Theory",Theory Only,1,3,0,0,0,3
73,Discipline Elective,BECE406E,FPGA Based System Design,Embedded Theory and Lab,1,2,0,2,0,3
74,Discipline Elective,BECE407E,ASIC Design,Embedded Theory and Lab,1,2,0,2,0,3
75,Discipline Elective,BECE409E,Sensors Technology,Embedded Theory and Lab,1,2,0,2,0,3
76,Discipline Elective,BECE411L,Cryptography and Network Security,Theory Only,1,3,0,0,0,3
77,Projects and Internship,BECE399J,Summer Industrial Internship,Project,1,0,0,0,0,1
78,Projects and Internship,BECE497J,Project - I,Project,1,0,0,0,0,3
79,Projects and Internship,BECE498J,Project - II / Internship,Project,1,0,0,0,0,5
80,Projects and Internship,BECE499J,One Semester Internship,Project,1,0,0,0,0,14
81,Open Elective,BECE351E,Internet of Things,Embedded Theory and Lab,1,1,0,2,0,2
82,Open Elective,BECE352E,IoT Domain Analyst,Embedded Theory and Lab,1,1,0,2,0,2
83,Open Elective,BECE355L,Advanced Cloud Computing,Theory Only,1.1,3,0,0,0,3
84,Open Elective,BEEE201L,Electronic Materials,Theory Only,1,3,0,0,0,3
85,Open Elective,BEEE203L,Circuit Theory,Theory Only,1,3,1,0,0,4
86,Open Elective,BEEE206L,Digital Electronics,Theory Only,1,3,0,0,0,3
87,Open Elective,BEEE206P,Digital Electronics Lab,Lab Only,1,0,0,2,0,1
88,Open Elective,BFST213E,Garment Designing and Manufacturing,Embedded Theory and Lab,1,2,0,2,0,3
89,Open Elective,BHUM110L,Cognitive Psychology,Theory Only,1.1,3,0,0,0,3
90,Open Elective,BHUM111L,Happiness and Well-being,Theory Only,1,3,0,0,0,3
91,Open Elective,BHUM112L,Social Psychology,Theory Only,1,3,0,0,0,3
92,Open Elective,BHUM114L,International Economic Relations,Theory Only,1,3,0,0,0,3
93,Open Elective,BHUM201L,Mass Communication,Theory Only,1,3,0,0,0,3
94,Open Elective,BHUM202L,Rural Development,Theory Only,1,3,0,0,0,3
95,Open Elective,BHUM203L,Introduction to Psychology,Theory Only,1,3,0,0,0,3
96,Open Elective,BHUM204L,Industrial Psychology,Theory Only,1,3,0,0,0,3
97,Open Elective,BHUM205L,Development Economics,Theory Only,1,3,0,0,0,3
98,Open Elective,BHUM206L,International Economics,Theory Only,1,3,0,0,0,3
99,Open Elective,BHUM207L,Engineering Economics,Theory Only,1,3,0,0,0,3
100,Open Elective,BHUM208L,Economics of Strategy,Theory Only,1,3,0,0,0,3
101,Open Elective,BHUM209L,Game Theory,Theory Only,1,3,0,0,0,3
102,Open Elective,BHUM210E,Econometrics,Embedded Theory and Lab,1,2,0,2,0,3
103,Open Elective,BHUM211L,Behavioral Economics,Theory Only,1,3,0,0,0,3
104,Open Elective,BHUM212L,Mathematics for Economic Analysis,Theory Only,1,3,0,0,0,3
105,Open Elective,BHUM213L,Corporate Social Responsibility,Theory Only,1,3,0,0,0,3
106,Open Elective,BHUM214L,Political Science,Theory Only,1,3,0,0,0,3
107,Open Elective,BHUM215L,International Relations,Theory Only,1,3,0,0,0,3
108,Open Elective,BHUM216L,Indian Culture and Heritage,Theory Only,1,3,0,0,0,3
109,Open Elective,BHUM217L,Contemporary India,Theory Only,1,3,0,0,0,3
110,Open Elective,BHUM218L,Financial Management,Theory Only,1,3,0,0,0,3
111,Open Elective,BHUM219L,Principles of Accounting,Theory Only,1,3,0,0,0,3
112,Open Elective,BHUM220L,Financial Markets and Institutions,Theory Only,1,3,0,0,0,3
113,Open Elective,BHUM221L,"Economics of Money, Banking and Financial Markets",Theory Only,1,3,0,0,0,3
114,Open Elective,BHUM222L,Security Analysis and Portfolio Management,Theory Only,1,3,0,0,0,3
115,Open Elective,BHUM223L,"Options, Futures and other Derivatives",Theory Only,1,3,0,0,0,3
116,Open Elective,BHUM224L,Fixed Income Securities,Theory Only,1,3,0,0,0,3
117,Open Elective,BHUM225L,Personal Finance,Theory Only,1,3,0,0,0,3
118,Open Elective,BHUM226L,Corporate Finance,Theory Only,1,3,0,0,0,3
119,Open Elective,BHUM227L,Financial Statement Analysis,Theory Only,1,3,0,0,0,3
120,Open Elective,BHUM228L,Cost and Management Accounting,Theory Only,1,3,0,0,0,3
121,Open Elective,BHUM229L,"Mind, Embodiment, and Technology",Theory Only,1,3,0,0,0,3
122,Open Elective,BHUM230L,Health Humanities in Biotechnological Era,Theory Only,1,3,0,0,0,3
123,Open Elective,BHUM231L,Reproductive choices for a Sustainable Society,Theory Only,1,3,0,0,0,3
124,Open Elective,BHUM232L,Introduction to Sustainable Aging,Theory Only,1,3,0,0,0,3
125,Open Elective,BHUM233L,Environmental Psychology,Theory Only,1,3,0,0,0,3
126,Open Elective,BHUM234L,Indian Psychology,Theory Only,1,3,0,0,0,3
127,Open Elective,BHUM235E,Psychology of Wellness,Embedded Theory and Lab,1,2,0,2,0,3
