sl.no,Type,Course Code,Course Name,Course Type,Ver sio n,L,T,P,J,Credits
62,Discipline Elective,BCSE317L,Information Security,Theory Only,1,3,0,0,0,3
63,Discipline Elective,BCSE318L,Data Privacy,Theory Only,1,3,0,0,0,3
64,Discipline Elective,BCSE319L,Penetration Testing and Vulnerability Analysis,Theory Only,1,2,0,0,0,2
65,Discipline Elective,BCSE319P,Penetration Testing and Vulnerability Analysis Lab,Lab Only,1,0,0,2,0,1
66,Discipline Elective,BCSE320L,Web Application Security,Theory Only,1,3,0,0,0,3
67,Discipline Elective,BCSE321L,Malware Analysis,Theory Only,1,2,0,0,0,2
68,Discipline Elective,BCSE321P,Malware Analysis Lab,Lab Only,1,0,0,2,0,1
69,Discipline Elective,BCSE322L,Digital Forensics,Theory Only,1,2,0,0,0,2
70,Discipline Elective,BCSE322P,Digital Forensics Lab,Lab Only,1,0,0,2,0,1
71,Discipline Elective,BCSE323L,Digital Watermarking and Steganography,Theory Only,1,3,0,0,0,3
72,Discipline Elective,BCSE324L,Foundations of Blockchain Technology,Theory Only,1,3,0,0,0,3
73,Discipline Elective,BCSE325L,Introduction to Bitcoin,Theory Only,1,3,0,0,0,3
74,Discipline Elective,BCSE326L,Blockchain Architecture Design,Theory Only,1,3,0,0,0,3
75,Discipline Elective,BCSE327L,Smart Contracts,Theory Only,1,2,0,0,0,2
76,Discipline Elective,BCSE327P,Smart Contracts Lab,Lab Only,1,0,0,2,0,1
77,Discipline Elective,BCSE328L,Cryptocurrency Technologies,Theory Only,1,3,0,0,0,3
78,Discipline Elective,BEEE102P,Basic Electrical and Electronics Engineering Lab,Lab Only,1,0,0,2,0,1
79,Discipline Elective,BCSE329P,Blockchain and Distributed Ledger Technology Lab,Lab Only,1,0,0,2,0,1
80,Discipline Elective,BCSE330L,Public Key Infrastructure and Trust Management,Theory Only,1,3,0,0,0,3
81,Discipline Elective,BCSE331L,Exploratory Data Analysis,Theory Only,1,2,0,0,0,2
